Rank,Title,Type,Release,Genre,Country,Hours,Runtime_Hours,Views,Description,Starring,Directors,Produced_by,Sub_Genre,IMDB,Rotten_Tomatoes,Poster,Half_Year,Streaming,Production
1,The Mother,Movie,2023,Thriller,United States,"249,900,000",1:57,"128,000,000","A deadly female assassin comes out of hiding to protect the daughter that she gave up years before, while on the run from dangerous men.","Jennifer Lopez,Joseph Fiennes,Omari Hardwick,Gael García Bernal,Paul Raci,Lucy Paez,Fahim Fazli,Michael Karl Richards,Saif Mohsen,Yvonne Senat Jones",Niki Caro,"Jennifer Lopez,Roy Lee,Elaine Goldsmith-Thomas,Marc D. Evans,Benny Medina,Miri Yoon,Misha Green,Molly Allen",Hitman,5.6,–,https://flixpatrol.com/runtime/cache/files/posters/v/w350/vnrthezz16q9vwcp5homkhxyhoy.jpg,2023-1,['Netflix'],Netflix
2,Murder Mystery 2,Movie,2023,Comedy,United States,"173,600,000",1:31,"114,200,000","Now private detectives launching their own agency, Nick and Audrey Spitz land at the center of an international investigation when a friend is abducted.","Adam Sandler,Jennifer Aniston,Mark Strong,Adeel Akhtar,Mélanie Laurent,Jodie Turner-Smith,John Kani,Kuhoo Verma,Dany Boon,Enrique Arce,Zurin Villanueva,Annie Mumolo,Tony Goldwyn",Jeremy Garelick,"Jennifer Aniston,Beau Flynn,Barry Bernardi,Adam Sandler,James Vanderbilt,Julie Goldstein,Allen Covert,Tripp Vinson,James D. Stern,Tim Herlihy,Kevin Grady,Lucas Smith,Kyle Newacheck",Crime Comedy,5.7,–,https://flixpatrol.com/runtime/cache/files/posters/w/w350/wdffzv8giiwy6xr4t7hwbwtuwpl.jpg,2023-1,['Netflix'],Netflix
3,The Night Agent season 1,TV Show,2023,Action,United States,"812,100,000",8:11,"99,200,000","Brought together by a midnight phone call, an FBI agent and a cybersecurity expert must unravel an ever-growing web of political conspiracies.","Gabriel Basso,Luciane Buchanan,Fola Evans-Akingbola,Sarah Desjardins,Eve Harlow,Phoenix Raei,Enrique Murciano,D.B. Woodside,Hong Chau,Arienne Mandi,Louis Herthum,Berto Colon,Keon Alexander,Michael Malarkey,Amanda Warren",,"Shawn Ryan,Seth Gordon,Marney Hochman,Julia Gunn,James Vanderbilt,William Sherak,Paul Neinstein,Nicole Tossou,David Beaubaire,Anayat Fakhraie",Spies,7.5,74,https://flixpatrol.com/runtime/cache/files/posters/4/w350/4c5yuncaff4w4aprkxe6zr7papx.jpg,2023-1,['Netflix'],Netflix
4,Extraction 2,Movie,2023,Action,United States,"201,800,000",2:04,"97,500,000","After barely surviving his grievous wounds from his mission in Dhaka, Bangladesh, Tyler Rake is back, and his team is ready to take on their next mission. Tasked with extracting a family who is at the mercy of a Georgian gangster, Tyler infiltrates one of the world's deadliest prisons in order to save them. But when the extraction gets hot, and the gangster dies in the heat of battle, his equally ruthless brother tracks down Rake and his team to Sydney, in order to get revenge.","Chris Hemsworth,Rudhraksh Jaiswal,Golshifteh Farahani,Adam Bessa,Justin Howell,Tinatin Dalakishvili,Sinéad Phelps,Tornike Bziava,Patrick Newall",Sam Hargrave,"Anthony Russo,Joe Russo,Christopher Markus,Stephen McFeely,Chris Hemsworth,Eric Gitter,Ben Grayson,Sam Hargrave,Patrick Newall,Jake Aust,Mike LaRocca,Peter Schwerin,Angela Russo-Otstot,Steven V. Scavelli",Terorrism,7,–,https://flixpatrol.com/runtime/cache/files/posters/a/w350/axizx52u5j8m8limixnk5euwlg0.jpg,2023-1,['Netflix'],Netflix
5,Luther: The Fallen Sun,Movie,2023,Crime,United Kingdom,"209,700,000",2:11,"95,700,000","A gruesome serial killer is terrorizing London while brilliant but disgraced detective John Luther sits behind bars. Haunted by his failure to capture the cyber psychopath who now taunts him, Luther decides to break out of prison to finish the job by any means necessary.","Idris Elba,Dermot Crowley,Cynthia Erivo,Andy Serkis,Jess Liaudin,Einar Kuusk",Jamie Payne,"Miki Emmrich,Idris Elba,Jenno Topping,Peter Chernin,Neil Cross,Kris Thykier,Brendan Ferguson,David Ready,Dan Finlay,Priscilla Parish,Luisa Zabel",Serial killer,6.4,68,https://flixpatrol.com/runtime/cache/files/posters/v/w350/vfvuks8ycnxwnjkcklxipc9poe.jpg,2023-1,['Netflix'],Netflix
6,You People,Movie,2023,Comedy,United States,"181,800,000",1:59,"91,400,000","A new couple and their families reckon with modern love amid culture clashes, societal expectations and generational differences.","Jonah Hill,Lauren London,Eddie Murphy,Julia Louis-Dreyfus,Sam Jay,Nia Long,Travis Bennett,David Duchovny,Molly Gordon,Deon Cole,Andrea Savage,Elliott Gould,Rhea Perlman,Emily Arlook,Mike Epps,La La Anthony,Andrew Schulz",Kenya Barris,"Jonah Hill,Kevin Misher,Andy Berman,Mychelle Deschamps,Kenya Barris,Hale Rothstein,E. Brian Dobbins,David Hyman,Alison Goodwin,Matt Dines",Relationship,5.5,41,https://flixpatrol.com/runtime/cache/files/posters/x/w350/x5e4tndwasnkak2hwgeyfsivo2x.jpg,2023-1,['Netflix'],Netflix
7,Your Place or Mine,Movie,2023,Comedy,United States,"163,000,000",1:51,"88,300,000","When best friends and total opposites Debbie and Peter swap homes for a week, they get a peek into each other's lives that could open the door to love.","Reese Witherspoon,Ashton Kutcher,Jesse Williams,Zoë Chao,Steve Zahn,Tig Notaro,Wesley Kimmel",Aline Brosh McKenna,"Reese Witherspoon,Aline Brosh McKenna,Jason Bateman,Michael Costigan,Lauren Neustadter",Rom Com,5.7,–,https://flixpatrol.com/runtime/cache/files/posters/h/w350/hhor25xh6tonjdw9nmzzdtz3j8n.jpg,2023-1,['Netflix'],Netflix
8,Queen Charlotte: A Bridgerton Story season 1,TV Show,2023,Drama,United States,"503,000,000",6:29,"77,743,000","The story of how the young Queen Charlotte’s marriage to King George sparked both a great love story and a societal shift, creating the world of the Ton inherited by the characters in Bridgerton.","India Ria Amarteifio,Corey Mylchreest,Golda Rosheuvel,Arsema Thomas,Adjoa Andoh,Michelle Fairley,Tunji Kasim,Ruth Gemmell,Sam Clemmett,Rob Maloney,Cyril Nri,Freddie Dennis,Hugh Sachs,Julie Andrews,Neil Edmond,Richard Cunningham",,"Shonda Rhimes,Tom Verica,Betsy Beers",Kings and Queens,7.5,–,https://flixpatrol.com/runtime/cache/files/posters/e/w350/er7btjpvougivuysoesd2iaoysj.jpg,2023-1,['Netflix'],Netflix
9,Wednesday season 1,TV Show,2022,Comedy,United States,"507,700,000",6:49,"74,500,000","Wednesday Addams is sent to Nevermore Academy, a bizarre boarding school where she attempts to master her psychic powers, stop a monstrous killing spree of the town citizens, and solve the supernatural mystery that affected her family 25 years ago — all while navigating her new relationships.","Jenna Ortega,Emma Myers,Joy Sunday,Thora Birch,Percy Hynes White,Hunter Doohan,Gwendoline Christie,Riki Lindhome,Jamie McShane,Moosa Mostafa,Christina Ricci,Georgie Farmer,Naomi J. Ogawa,Catherine Zeta-Jones,Luis Guzmán,Isaac Ordonez,Luyanda Unati Lewis-Nyawo,Victor Dorobantu,Steve Buscemi,Billie Piper,Evie Templeton,Owen Painter",,"Alfred Gough,Miles Millar,Tim Burton,Kayla Alpert,Andrew Mittman,Kevin Miserocchi,Jonathan Glickman,Gail Berman,Steve Stark,Jenna Ortega",Horror Comedy,8,71,https://flixpatrol.com/runtime/cache/files/posters/k/w350/kkwy8qixyqocbdj4haug0ud1sbf.jpg,2023-1,"['Google', 'iTunes', 'Netflix']",Netflix
10,Ginny & Georgia season 2,TV Show,2021,Drama,United States,"665,100,000",9:47,"68,300,000","Angsty and awkward fifteen year old Ginny Miller often feels more mature than her thirty year old mother, the irresistible and dynamic Georgia Miller. After years on the run, Georgia desperately wants to put down roots in picturesque New England and give her family something they've never had... a normal life. But it's not all carpool and Kombucha as Georgia's past threatens her and her family's new way of life... and Georgia will do anything to protect her family.","Antonia Gentry,Brianne Howey,Diesel La Torraca,Jennifer Robertson,Felix Mallard,Sara Waisglass,Scott Porter,Raymond Ablack,Katie Douglas,Chelsea Clark",,Sarah Lampert,Teens,7.5,64,https://flixpatrol.com/runtime/cache/files/posters/j/w350/j1yqosvvsksypyrent0ved1s3dq.jpg,2023-1,['Netflix'],Netflix
